Date,Relative P/E
31/07/1997,1.09
29/08/1997,1.16
30/09/1997,1.12
31/10/1997,1.07
28/11/1997,1.02
31/12/1997,1.05
27/02/1998,1
31/03/1998,0.98
30/04/1998,0.94
29/05/1998,0.91
30/06/1998,0.89
31/07/1998,0.86
31/08/1998,0.82
30/09/1998,0.86
30/10/1998,0.83
30/11/1998,0.82
31/12/1998,0.86
29/01/1999,0.73
26/02/1999,0.72
31/03/1999,0.72
30/04/1999,0.74
31/05/1999,0.76
30/06/1999,0.76
30/07/1999,0.77
31/08/1999,0.77
30/09/1999,0.75
29/10/1999,0.75
30/11/1999,0.76
31/12/1999,0.76
31/01/2000,0.8
29/02/2000,0.87
31/03/2000,0.86
28/04/2000,0.8
31/05/2000,0.78
30/06/2000,0.76
31/07/2000,0.77
31/08/2000,0.79
29/09/2000,0.83
31/10/2000,0.79
30/11/2000,0.79
29/12/2000,0.83
31/01/2001,0.8
28/02/2001,0.83
30/03/2001,0.82
30/04/2001,0.85
31/05/2001,0.85
29/06/2001,0.88
31/07/2001,0.88
31/08/2001,0.91
28/09/2001,0.86
31/10/2001,0.9
30/11/2001,0.89
31/12/2001,0.92
31/01/2002,0.92
28/02/2002,0.93
29/03/2002,0.95
30/04/2002,1
31/05/2002,1
28/06/2002,0.99
31/07/2002,0.96
30/08/2002,0.95
30/09/2002,0.98
31/10/2002,0.95
29/11/2002,0.95
31/12/2002,0.96
31/01/2003,0.94
28/02/2003,0.95
31/03/2003,0.94
30/04/2003,0.94
30/05/2003,0.98
30/06/2003,0.98
31/07/2003,1
29/08/2003,1.02
30/09/2003,1.01
31/10/2003,1.02
28/11/2003,1.04
31/12/2003,0.99
30/01/2004,0.99
27/02/2004,1.01
31/03/2004,1.04
30/04/2004,1.03
31/05/2004,1.03
30/06/2004,1.04
30/07/2004,1.02
31/08/2004,1.01
30/09/2004,1.03
29/10/2004,1.05
30/11/2004,1.07
31/12/2004,1.05
31/01/2005,1.06
28/02/2005,1.07
31/03/2005,1.08
29/04/2005,1.05
31/05/2005,1.08
30/06/2005,1.1
29/07/2005,1.12
31/08/2005,1.12
30/09/2005,1.12
31/10/2005,1.12
30/11/2005,1.12
30/12/2005,1.13
31/01/2006,1.16
28/02/2006,1.14
31/03/2006,1.16
28/04/2006,1.16
31/05/2006,1.14
30/06/2006,1.13
31/07/2006,1.1
31/08/2006,1.09
29/09/2006,1.07
31/10/2006,1.08
30/11/2006,1.1
29/12/2006,1.07
31/01/2007,1.1
28/02/2007,1.14
30/03/2007,1.14
30/04/2007,1.13
31/05/2007,1.15
29/06/2007,1.15
31/07/2007,1.15
31/08/2007,1.14
28/09/2007,1.13
31/10/2007,1.14
30/11/2007,1.11
31/12/2007,1.1
31/01/2008,1.09
29/02/2008,1.1
31/03/2008,1.08
30/04/2008,1.1
30/05/2008,1.13
30/06/2008,1.13
31/07/2008,1.08
29/08/2008,1.08
30/09/2008,1.06
31/10/2008,0.99
28/11/2008,0.96
31/12/2008,0.98
30/01/2009,0.94
27/02/2009,0.98
31/03/2009,0.99
30/04/2009,1.07
29/05/2009,1.03
30/06/2009,1.05
31/07/2009,1.09
31/08/2009,1.09
30/09/2009,1.12
30/10/2009,1.1
30/11/2009,1.09
31/12/2009,1.13
29/01/2010,1.14
26/02/2010,1.16
31/03/2010,1.18
30/04/2010,1.22
31/05/2010,1.22
30/06/2010,1.19
30/07/2010,1.19
31/08/2010,1.17
30/09/2010,1.2
29/10/2010,1.2
30/11/2010,1.23
31/12/2010,1.21
31/01/2011,1.22
28/02/2011,1.23
31/03/2011,1.26
29/04/2011,1.27
31/05/2011,1.26
30/06/2011,1.24
29/07/2011,1.22
31/08/2011,1.19
30/09/2011,1.14
31/10/2011,1.16
30/11/2011,1.15
30/12/2011,1.13
31/01/2012,1.16
29/02/2012,1.17
30/03/2012,1.15
30/04/2012,1.16
31/05/2012,1.15
29/06/2012,1.12
31/07/2012,1.11
31/08/2012,1.12
28/09/2012,1.11
31/10/2012,1.13
30/11/2012,1.15
31/12/2012,1.16
31/01/2013,1.17
28/02/2013,1.17
29/03/2013,1.18
30/04/2013,1.16
31/05/2013,1.15
28/06/2013,1.15
31/07/2013,1.16
30/08/2013,1.16
30/09/2013,1.16
31/10/2013,1.14
29/11/2013,1.12
31/12/2013,1.13
31/01/2014,1.13
28/02/2014,1.15
31/03/2014,1.14
30/04/2014,1.12
30/05/2014,1.1
30/06/2014,1.12
31/07/2014,1.09
29/08/2014,1.1
30/09/2014,1.06
31/10/2014,1.06
28/11/2014,1.05
31/12/2014,1.05
30/01/2015,1.05
27/02/2015,1.06
31/03/2015,1.1
30/04/2015,1.07
29/05/2015,1.08
30/06/2015,1.09
31/07/2015,1.07
31/08/2015,1.07
30/09/2015,1.06
30/10/2015,1.04
30/11/2015,1.05
31/12/2015,1.02
29/01/2016,1
29/02/2016,1.02
31/03/2016,1.03
29/04/2016,1.03
31/05/2016,1.05
30/06/2016,1.04
29/07/2016,1.05
31/08/2016,1.06
30/09/2016,1.05
31/10/2016,1.05
30/11/2016,1.1
30/12/2016,1.1
31/01/2017,1.09
28/02/2017,1.08
31/03/2017,1.06
28/04/2017,1.05
31/05/2017,1.03
30/06/2017,1.03
31/07/2017,1.01
31/08/2017,1
29/09/2017,1.01
31/10/2017,1.01
30/11/2017,1.02
29/12/2017,1.01
31/01/2018,0.99
28/02/2018,0.98
30/03/2018,1
30/04/2018,1
31/05/2018,1
29/06/2018,1.01
31/07/2018,0.99
31/08/2018,0.99
28/09/2018,0.97
31/10/2018,0.95
30/11/2018,0.96
31/12/2018,0.93
31/01/2019,0.95
28/02/2019,0.97
29/03/2019,0.95
30/04/2019,0.95
31/05/2019,0.94
28/06/2019,0.94
31/07/2019,0.95
30/08/2019,0.93
30/09/2019,0.95
31/10/2019,0.95
29/11/2019,0.95
31/12/2019,0.93
31/01/2020,0.91
28/02/2020,0.91
31/03/2020,0.84
30/04/2020,0.92
29/05/2020,1
30/06/2020,0.95
31/07/2020,0.93
31/08/2020,0.89
30/09/2020,0.85
30/10/2020,0.86
30/11/2020,0.87
31/12/2020,0.86
29/01/2021,0.88
26/02/2021,0.91
31/03/2021,0.88
30/04/2021,0.88
31/05/2021,0.86
30/06/2021,0.83
30/07/2021,0.81
31/08/2021,0.79
30/09/2021,0.79
29/10/2021,0.77
30/11/2021,0.75
31/12/2021,0.74
31/01/2022,0.72
28/02/2022,0.75
31/03/2022,0.72
29/04/2022,0.72
31/05/2022,0.72
30/06/2022,0.72
29/07/2022,0.72
31/08/2022,0.72
30/09/2022,0.72
31/10/2022,0.75
30/11/2022,0.77
30/12/2022,0.77
31/01/2023,0.79
28/02/2023,0.81
31/03/2023,0.75
28/04/2023,0.73
31/05/2023,0.7
30/06/2023,0.72
31/07/2023,0.73
31/08/2023,0.73
29/09/2023,0.72
31/10/2023,0.71
30/11/2023,0.71
29/12/2023,0.74
31/01/2024,0.73
29/02/2024,0.75
29/03/2024,0.76
26/04/2024,0.75
31/05/2024,0.74
30/06/2024,0.72
31/07/2024,0.76
30/08/2024,0.74
30/09/2024,0.74
31/10/2024,0.75
29/11/2024,0.77
31/12/2024,0.73
31/01/2025,0.74
28/02/2025,0.72
31/03/2025,0.72
